"1"	"©Y"	"84.605"	"100.215"	"400.88"	"5.03"	"72.22"	"0.09"	"67"
"2"	"¶`"	"36.495"	"140.515"	"419.13"	"4.945"	"66.93"	"0.06"	"29.5"
"3"	"∞Ò"	"31.96"	"153.84"	"402.65"	"4.18"	"71.3"	"0.04"	"51"
"4"	"∑æ"	"19.92"	"135.19"	"390.01"	"1.95"	"78.6"	"0.04"	"15"
"5"	"∆W"	"71.76"	"161.095"	"407.19"	"3.575"	"73.46"	"0.08"	"127.5"
"6"	"ß|"	"151.11"	"134.535"	"391.555"	"5.225"	"90.94"	"0.08"	"198"
"7"	"§s"	"96.34"	"139.5"	"397.54"	"5.14"	"85.88"	"0.07"	"136"
"8"	"±["	"42.565"	"125.53"	"394.105"	"4.495"	"87.685"	"0.07"	"58"
"9"	"¥Ú"	"120.46"	"137.02"	"391.85"	"4.9"	"90.41"	"0.07"	"131"
"10"	"¶ø"	"17.985"	"123.7"	"400.12"	"2.925"	"69.96"	"0.045"	"12"
"11"	"≥ª"	"42.2"	"138.93"	"397.48"	"4.05"	"77.02"	"0.05"	"63"
"12"	"Ÿı"	"35.79"	"99.35"	"382.22"	"3.08"	"91.82"	"0.03"	"22"
"13"	"∑À"	"45.55"	"157.04"	"385.34"	"4.04"	"85.88"	"0.07"	"43"
"14"	"ºÊ"	"36.09"	"131.36"	"383.67"	"2.35"	"63.57"	"0.05"	"49"
"15"	"§Ù"	"100.61"	"135.98"	"382"	"3.17"	"86.32"	"0.05"	"122"
"16"	"©W"	"205.19"	"131.57"	"389.09"	"4.96"	"100.13"	"0.07"	"204"
"17"	"±T"	"94.195"	"126.535"	"386.295"	"3.705"	"75.625"	"0.08"	"106.5"
"18"	"Ær"	"68.23"	"154.76"	"376.52"	"5.09"	"80.88"	"0.04"	"72"
"19"	"®¶"	"259.53"	"115.55"	"371.09"	"7.65"	"209.72"	"0.16"	"381"
"20"	"ÆH"	"50.6"	"134.285"	"380.545"	"3.525"	"75.59"	"0.05"	"62"
"21"	"·Y"	"9.685"	"120.045"	"392.34"	"2.16"	"60.46"	"0.03"	"10"
