FID	place_name	category1	dem_MEAN	fac_MEAN	distance_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	DEM_RANGE
24311	新山仔寮	山	0.18 	16.26 	635.31 	18.08 	282.69 	0.29 	4
31153	新山仔寮	山	0.18 	18.07 	966.37 	29.41 	119.68 	0.05 	4
9247	青山港汕	山	0.34 	1384.49 	546.34 	1.24 	15.47 	0.01 	9
30778	大山仔	山	0.57 	399.51 	350.14 	29.28 	109.25 	0.50 	5
24267	塚山	山	0.67 	16740.75 	707.31 	1.87 	820.28 	0.01 	2
30877	塚山	山	0.67 	176.68 	415.83 	0.88 	677.03 	0.09 	2
13350	仙山口	山	0.79 	1462.09 	375.84 	0.75 	13.21 	0.14 	5
15957	冬山	山	0.79 	519.81 	452.51 	14.16 	118.96 	0.05 	5
16990	龍山	山	0.85 	37.70 	377.55 	20.90 	8.43 	0.00 	2
30784	西海尾、大山仔	山	0.87 	44.28 	346.73 	1.00 	401.83 	0.01 	17
5957	下山仔寮	山	0.93 	14023.16 	331.04 	25.91 	577.03 	0.46 	2
30690	下山仔寮	山	0.93 	579.81 	343.77 	7.45 	12.74 	0.28 	2
16039	東龍山村	山	1.06 	184.87 	338.71 	7.11 	358.52 	0.01 	2
19228	紅山仔	山	1.13 	225.47 	387.23 	23.50 	27.31 	0.02 	6
17597	廣山材	山	1.31 	50.83 	494.18 	0.83 	15.90 	0.01 	4
6060	南山里	山	1.37 	63.36 	733.19 	2.96 	360.13 	0.02 	11
27800	南山里	山	1.37 	12325.42 	260.44 	2.19 	8.07 	0.01 	11
34273	山寮仔	山	1.40 	101.44 	314.09 	15.48 	299.54 	0.16 	4
30806	山豹	山	1.40 	415.31 	342.21 	3.71 	617.12 	0.15 	6
6056	松山里	山	1.63 	43.25 	717.08 	1.08 	27.13 	0.01 	11
27796	松山里	山	1.63 	187.96 	510.68 	9.43 	245.21 	0.22 	11
6057	山仔後	山	1.65 	57.10 	487.74 	24.76 	17.69 	0.31 	11
27797	山仔後	山	1.65 	330.48 	359.42 	1.31 	14.15 	0.01 	11
33181	山仔後	山	1.65 	68.85 	753.88 	4.18 	4.49 	0.17 	11
6061	山仔腳	山	1.72 	2.28 	431.65 	0.53 	22.35 	0.08 	11
27801	山仔腳	山	1.72 	274.53 	328.34 	1.31 	61.09 	0.04 	11
22472	西山	山	1.72 	12.57 	148.26 	12.50 	126.46 	0.07 	4
24132	西山	山	1.72 	211.16 	246.56 	1.63 	179.69 	0.01 	4
6058	山仔	山	1.73 	27.07 	246.15 	15.80 	6.76 	0.08 	11
6062	山仔	山	1.73 	130.31 	328.00 	31.48 	7.24 	0.20 	11
27798	山仔	山	1.73 	130.27 	336.26 	4.57 	120.50 	0.01 	11
27802	山仔	山	1.73 	42.59 	392.44 	34.73 	168.46 	0.20 	11
22467	西山寮仔	山	1.86 	171.26 	500.90 	18.91 	9.36 	0.15 	4
24127	西山寮仔	山	1.86 	5201.52 	209.44 	4.38 	8.50 	0.51 	4
29649	下山寮	山	1.97 	116.95 	273.35 	16.08 	5.09 	0.26 	5
3435	山寮	山	2.17 	1.65 	236.03 	1.14 	4.33 	0.01 	4
14129	百年中山新村	山	2.21 	264.84 	342.72 	0.56 	19.72 	0.02 	5
22923	山寮	山	2.33 	347.35 	468.18 	16.48 	847.35 	0.40 	6
36427	山邊	山	2.54 	30.20 	598.96 	1.26 	123.21 	0.01 	8
31083	下山子腳	山	2.63 	239.15 	532.23 	1.10 	612.26 	0.01 	4
31086	下山寮	山	2.76 	96.61 	630.80 	22.70 	78.44 	0.09 	4
3509	頭前山仔	山	2.80 	357.54 	418.81 	0.51 	4.78 	0.01 	5
32344	頭前山仔	山	2.80 	10806.51 	436.21 	5.70 	414.03 	0.01 	5
22434	文山	山	2.87 	32.15 	228.88 	0.56 	19.32 	0.32 	4
24085	文山	山	2.87 	81.39 	213.52 	20.04 	11.92 	0.01 	4
31942	後崩山	山	2.89 	23.05 	589.90 	1.32 	22.52 	0.08 	10
4390	海山頭	山	2.93 	129.44 	265.46 	1.04 	218.05 	0.01 	8
22953	下桂山	山	2.94 	95.33 	1120.27 	0.75 	344.53 	0.25 	3
15958	冬山	山	3.11 	23.96 	567.90 	0.83 	123.17 	0.01 	17
8777	冬山街仔	山	3.12 	92.16 	381.88 	1.10 	43.06 	0.02 	17
7786	麟山鼻	山	3.26 	270.42 	273.94 	10.01 	94.58 	0.15 	48
38056	中庄山腳	山	3.33 	551.87 	271.56 	28.91 	11.71 	0.01 	6
22973	山寮	山	3.34 	474.64 	278.76 	1.09 	374.72 	0.27 	4
29672	山寮	山	3.42 	45.47 	764.12 	0.40 	25.66 	0.02 	6
31941	前崩山	山	3.46 	35.13 	290.25 	25.12 	137.73 	0.39 	10
14173	尖山腳	山	3.50 	453.31 	391.78 	18.70 	85.21 	0.08 	6
12843	大山	山	3.50 	34.45 	296.71 	0.96 	416.37 	0.08 	8
26847	中山	山	3.69 	1677.26 	419.55 	0.35 	474.94 	0.32 	6
2231	山寮	山	3.70 	579.90 	325.64 	0.81 	9.00 	0.01 	12
37008	山寮	山	3.70 	312.75 	629.82 	0.87 	18.62 	0.48 	12
22509	山仔腳	山	3.77 	1407.12 	895.83 	6.47 	22.36 	0.49 	4
24187	山仔腳	山	3.77 	1.82 	227.06 	8.70 	483.23 	0.28 	4
33107	山子腳	山	3.78 	501.89 	346.06 	3.41 	458.95 	0.01 	2
22507	下山仔腳	山	3.86 	258.83 	722.82 	25.86 	22.85 	0.55 	2
24185	下山仔腳	山	3.86 	1631.72 	228.49 	0.82 	10.58 	0.08 	2
22904	中尖山	山	3.89 	27.31 	611.24 	14.12 	9.16 	0.55 	6
36853	山腳寮	山	3.95 	199.64 	1031.33 	10.75 	382.60 	0.02 	4
11994	獅山	山	4.04 	44.86 	205.13 	15.99 	254.31 	0.19 	8
25875	下山腳	山	4.08 	31.44 	523.37 	0.60 	7.90 	0.05 	7
34909	西山	山	4.15 	21.45 	725.67 	10.82 	113.51 	0.01 	8
23645	山頭社	山	4.43 	32.79 	283.90 	0.70 	29.09 	0.02 	11
14802	尖山	山	4.49 	94.52 	259.75 	16.53 	211.49 	0.01 	6
34906	香山厝	山	4.58 	32.83 	447.53 	5.41 	20.24 	0.01 	9
31841	海山磚仔窯	山	4.63 	269.14 	527.94 	14.92 	5.52 	0.01 	12
22911	鬼子山	山	4.69 	1805.27 	418.05 	0.82 	168.97 	0.01 	3
646	圓山	山	4.99 	1010.40 	206.09 	1.15 	77.59 	0.01 	98
29607	山寮仔	山	5.16 	2965.41 	241.31 	9.48 	97.04 	0.02 	7
3598	山寮	山	5.39 	1023.10 	516.22 	1.10 	131.63 	0.24 	3
32296	山寮	山	5.39 	24.80 	598.86 	8.48 	14.40 	0.30 	3
12848	大山社區	山	5.40 	156.32 	522.86 	18.51 	45.18 	0.02 	27
15798	梅花山莊	山	5.48 	4176.34 	534.01 	3.59 	531.37 	0.29 	47
38791	山寮仔	山	5.53 	39.10 	412.30 	0.68 	116.84 	0.02 	3
16915	龜山頭	山	5.75 	572.56 	260.25 	0.41 	25.91 	0.04 	74
11045	馬草山	山	5.76 	717.78 	145.17 	8.99 	7.85 	0.14 	9
2407	虎仔山	山	5.81 	30.94 	653.08 	12.53 	151.48 	0.19 	13
2408	虎仔山	山	5.81 	397.63 	362.12 	0.65 	7.06 	0.01 	13
34846	虎仔山	山	5.81 	5668.05 	269.56 	1.55 	28.24 	0.01 	13
34920	山尾	山	5.81 	191.95 	428.07 	16.18 	73.92 	0.44 	13
40131	山霸	山	5.89 	47.96 	827.68 	8.21 	14.44 	0.13 	15
37898	岡山牛墟	山	5.93 	46.30 	475.81 	1.39 	3.74 	0.00 	9
22191	屎山仔	山	6.01 	3.49 	427.55 	15.90 	21.60 	0.03 	17
23928	屎山仔	山	6.01 	20.42 	1009.88 	6.92 	28.38 	0.02 	17
3161	鹽館園山仔	山	6.21 	288.64 	240.25 	0.48 	4.94 	0.01 	5
39461	山林尾	山	6.25 	292.16 	333.81 	19.60 	180.63 	0.31 	8
37903	岡山	山	6.36 	970.61 	186.71 	1.37 	9.20 	0.01 	14
22264	大堀頭山仔	山	6.71 	678.60 	200.96 	8.22 	6.11 	0.02 	5
11190	後山	山	6.75 	91.31 	494.25 	16.63 	200.56 	0.23 	53
36352	山仔腳	山	6.80 	1334.98 	507.25 	26.47 	70.50 	0.01 	29
28155	山寮	山	6.91 	24.85 	505.97 	2.40 	17.82 	0.01 	5
9025	崗山	山	7.10 	68.48 	304.87 	8.32 	9.68 	0.12 	12
9026	崗山子	山	7.10 	48.25 	348.05 	1.31 	26.29 	0.02 	12
39392	崗山仔	山	7.10 	47.63 	400.00 	1.90 	31.75 	0.21 	12
22992	馬山厝	山	7.21 	29.69 	527.51 	14.45 	166.48 	0.02 	4
26988	山寮	山	7.26 	3373.15 	536.70 	8.29 	151.20 	0.05 	7
28172	山寮子	山	7.26 	30.62 	184.70 	14.31 	14.65 	0.01 	5
18847	崑山	山	7.39 	13.35 	267.84 	0.86 	581.74 	0.01 	12
17694	鳳山厝	山	7.45 	27.43 	855.23 	26.52 	8.56 	0.04 	9
25520	屎山仔	山	7.46 	15.88 	375.60 	1.50 	178.59 	0.02 	19
28173	下山寮	山	7.68 	705.15 	1001.22 	0.38 	746.48 	0.30 	10
33926	海山罟	山	7.69 	34.73 	1077.82 	0.55 	183.71 	0.01 	60
33928	海山罟	山	7.69 	89.05 	848.02 	1.32 	22.28 	0.48 	60
25800	山霸園	山	7.70 	22.20 	874.66 	8.57 	24.39 	0.02 	19
39207	山廣	山	7.71 	51.59 	874.00 	19.65 	237.13 	0.10 	21
