FID	place_name	category1	dem_RANGE	dem_MEAN	fac_MEAN	hdis_MIN	hdis_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	vdis_MIN	vdis_MEAN
1642	³»ÆW¤l¤º	ÆW³»	15.00 	9.32 	5074.98 	0.00 	249.13 	2.14 	14.06 	0.03 	0.00 	1.80 
7554	³»©¥ÆW	ÆW³»	280.00 	223.19 	45.97 	0.00 	424.23 	17.63 	270.96 	0.28 	0.00 	72.02 
11473	³»ÆW	ÆW³»	5.00 	7.24 	15.85 	200.00 	1001.22 	0.48 	6.24 	0.01 	0.00 	1.34 
16482	ÆW³»	ÆW³»	48.00 	94.33 	120.79 	0.00 	240.71 	2.09 	55.48 	0.03 	0.00 	15.22 
22559	³»ÆW¥J	ÆW³»	148.00 	168.43 	107.33 	0.00 	445.46 	4.94 	137.87 	0.08 	0.00 	17.62 
31851	³»ÆW¨¤	ÆW³»	5.00 	7.24 	15.89 	200.00 	1007.36 	0.48 	6.20 	0.01 	0.00 	1.33 
6213	¤jÆW©W	ÆW©W	275.00 	283.58 	12969.50 	0.00 	337.57 	15.71 	340.74 	0.28 	0.00 	52.75 
205	¤WÆW¥J	ÆW	91.00 	13.90 	21.51 	40.00 	437.34 	5.84 	78.33 	0.09 	0.00 	9.25 
206	¤g¦a¤½ÆW	ÆW	81.00 	11.79 	17.41 	40.00 	352.99 	5.15 	71.99 	0.08 	0.00 	8.06 
209	¤UÆW¥J	ÆW	102.00 	16.42 	25.50 	0.00 	428.27 	6.73 	84.49 	0.11 	0.00 	11.46 
237	±ÆÆW³¡¸¨	ÆW	177.00 	72.49 	519.29 	0.00 	452.12 	8.95 	208.04 	0.14 	0.00 	26.68 
627	ÆW¥J	ÆW	80.00 	6.18 	1138.98 	0.00 	239.43 	3.23 	89.85 	0.04 	0.00 	4.88 
1407	ÆW¥J¬v	ÆW	77.00 	26.72 	39.72 	0.00 	465.41 	3.12 	59.97 	0.05 	0.00 	10.81 
1765	¤jÆW	ÆW	284.00 	176.15 	91.18 	0.00 	403.57 	14.98 	260.67 	0.23 	0.00 	60.53 
2142	ÆW¥C¥J	ÆW	100.00 	36.56 	6165.46 	0.00 	449.71 	5.19 	92.50 	0.08 	0.00 	17.39 
2394	¤Q¤TÆW	ÆW	688.00 	1428.76 	444.91 	0.00 	514.02 	30.93 	705.71 	0.53 	0.00 	269.70 
2684	¥dªü¸ôÆWªÀ	ÆW	640.00 	744.75 	83.23 	0.00 	360.56 	27.71 	656.61 	0.47 	0.00 	195.88 
3440	¤Q¤GÆW	ÆW	440.00 	460.03 	70.88 	0.00 	453.42 	23.04 	403.80 	0.37 	0.00 	135.82 
3520	¤jÆW	ÆW	7.00 	5.46 	15.85 	89.44 	804.58 	0.49 	8.14 	0.01 	0.00 	2.00 
3754	¤Q¤EÆW	ÆW	46.00 	19.40 	102.26 	0.00 	272.25 	2.00 	41.40 	0.03 	0.00 	3.93 
4385	¤j¨FÆW	ÆW	111.00 	15.24 	59.73 	0.00 	304.07 	12.11 	127.56 	0.20 	0.00 	14.89 
4386	¤G¨FÆW	ÆW	124.00 	23.09 	37.45 	0.00 	328.42 	14.15 	124.12 	0.22 	0.00 	23.31 
4854	¤GÆW	ÆW	125.00 	114.09 	2079.79 	0.00 	426.31 	12.96 	131.75 	0.20 	0.00 	31.13 
4858	¤GÆW	ÆW	59.00 	27.00 	185.35 	0.00 	265.90 	3.10 	65.71 	0.05 	0.00 	9.30 
5252	¤T¨BÆW	ÆW	490.00 	702.75 	16.84 	393.95 	1233.96 	24.11 	535.21 	0.38 	0.00 	222.58 
5539	°jÀYÆW	ÆW	691.00 	894.46 	2723.61 	0.00 	258.07 	38.68 	809.21 	0.75 	0.00 	202.20 
5554	¥¬¬¥ÆW	ÆW	1130.00 	557.80 	6841.94 	0.00 	378.73 	41.90 	1083.67 	0.85 	0.00 	280.82 
5558	¥[ÆW	ÆW	622.00 	113.42 	41.88 	0.00 	674.43 	15.71 	519.79 	0.28 	0.00 	102.60 
5560	§J¶øÆW	ÆW	570.00 	95.06 	42.37 	0.00 	643.68 	14.30 	496.97 	0.26 	0.00 	84.82 
5582	¯S²öÆW	ÆW	603.00 	1615.96 	79.73 	0.00 	342.21 	32.08 	634.96 	0.56 	0.00 	148.99 
6123	ÆW¸Ì	ÆW	12.00 	5.88 	931.16 	0.00 	530.53 	1.40 	12.71 	0.02 	0.00 	3.58 
6661	«¢¹ÇÆW³¡¸¨	ÆW	808.00 	879.70 	1807.95 	0.00 	445.76 	34.33 	758.03 	0.60 	0.00 	283.25 
7082	¤ºÆW	ÆW	121.00 	58.23 	95.17 	0.00 	372.91 	3.64 	134.06 	0.06 	0.00 	11.67 
7214	ÆW¥C	ÆW	181.00 	185.78 	156.19 	0.00 	371.48 	15.30 	202.73 	0.24 	0.00 	44.23 
7370	ÆW¥C	ÆW	274.00 	332.81 	484.22 	0.00 	296.84 	19.14 	288.14 	0.31 	0.00 	70.42 
