FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
1642	³»ÆW¤l¤º	ÆW³»	10.0 	9.4 	0.0 	323.0 	86.2 	2.0 	10.4 	0.0 	0.0 	1.8 
7554	³»©¥ÆW	ÆW³»	218.0 	211.5 	0.0 	344.4 	58.3 	15.6 	195.4 	0.3 	0.0 	60.6 
11473	³»ÆW	ÆW³»	4.0 	7.3 	688.2 	1138.7 	19.9 	0.5 	3.7 	0.0 	0.0 	0.7 
16482	ÆW³»	ÆW³»	24.0 	92.3 	0.0 	105.6 	205.2 	1.9 	25.1 	0.0 	0.0 	9.5 
22559	³»ÆW¥J	ÆW³»	36.0 	156.9 	0.0 	395.1 	134.2 	1.8 	54.4 	0.0 	0.0 	5.5 
31851	³»ÆW¨¤	ÆW³»	4.0 	7.3 	712.2 	1149.6 	19.9 	0.5 	3.7 	0.0 	0.0 	0.8 
6213	¤jÆW©W	ÆW©W	189.0 	267.6 	0.0 	158.6 	29615.7 	12.4 	186.7 	0.2 	0.0 	33.1 
205	¤WÆW¥J	ÆW	41.0 	9.8 	89.4 	479.9 	21.3 	3.0 	42.0 	0.0 	0.0 	5.2 
206	¤g¦a¤½ÆW	ÆW	40.0 	6.9 	40.0 	314.9 	45.2 	2.7 	45.4 	0.0 	0.0 	3.1 
209	¤UÆW¥J	ÆW	54.0 	10.4 	89.4 	530.6 	28.8 	3.4 	56.3 	0.1 	0.0 	4.6 
237	±ÆÆW³¡¸¨	ÆW	158.0 	74.7 	178.9 	606.5 	13.8 	10.0 	138.0 	0.2 	6.0 	34.3 
627	ÆW¥J	ÆW	8.0 	3.6 	40.0 	207.5 	8.6 	1.8 	16.8 	0.0 	0.0 	2.7 
1407	ÆW¥J¬v	ÆW	40.0 	22.1 	40.0 	531.1 	27.6 	2.0 	34.4 	0.0 	0.0 	7.1 
1765	¤jÆW	ÆW	99.0 	171.2 	0.0 	270.6 	141.3 	13.6 	126.0 	0.2 	0.0 	47.0 
2142	ÆW¥C¥J	ÆW	49.0 	39.4 	89.4 	586.6 	20.9 	2.8 	55.1 	0.0 	2.0 	18.3 
2394	¤Q¤TÆW	ÆW	557.0 	1509.0 	120.0 	619.0 	7.8 	31.9 	500.9 	0.5 	45.0 	358.8 
2684	¥dªü¸ôÆWªÀ	ÆW	329.0 	638.0 	0.0 	157.1 	157.6 	27.0 	424.7 	0.5 	0.0 	93.2 
3440	¤Q¤GÆW	ÆW	286.0 	463.3 	56.6 	511.8 	14.6 	23.0 	302.6 	0.4 	9.0 	147.6 
3520	¤jÆW	ÆW	4.0 	5.9 	565.7 	991.2 	17.3 	0.4 	3.9 	0.0 	1.0 	1.9 
3754	¤Q¤EÆW	ÆW	7.0 	18.3 	40.0 	354.1 	8.8 	0.8 	18.1 	0.0 	1.0 	3.1 
4385	¤j¨FÆW	ÆW	54.0 	5.3 	0.0 	186.9 	90.1 	6.2 	84.6 	0.1 	0.0 	5.1 
4386	¤G¨FÆW	ÆW	103.0 	19.3 	40.0 	337.8 	7.7 	13.5 	114.6 	0.2 	0.0 	19.3 
4854	¤GÆW	ÆW	103.0 	117.8 	0.0 	338.1 	2758.1 	14.2 	101.0 	0.2 	0.0 	30.0 
4858	¤GÆW	ÆW	24.0 	24.6 	0.0 	286.4 	244.0 	2.2 	30.5 	0.0 	0.0 	8.1 
5252	¤T¨BÆW	ÆW	280.0 	684.2 	894.4 	1356.4 	24.4 	21.2 	297.5 	0.3 	0.0 	193.9 
5539	°jÀYÆW	ÆW	379.0 	801.9 	0.0 	149.4 	4566.8 	40.0 	460.2 	0.8 	0.0 	125.1 
5554	¥¬¬¥ÆW	ÆW	610.0 	404.9 	0.0 	432.9 	4557.1 	34.6 	663.0 	0.7 	0.0 	154.8 
5558	¥[ÆW	ÆW	185.0 	40.3 	0.0 	437.9 	73.3 	9.4 	246.7 	0.2 	0.0 	27.8 
5560	§J¶øÆW	ÆW	144.0 	30.6 	0.0 	391.6 	75.4 	7.2 	209.6 	0.1 	0.0 	18.1 
5582	¯S²öÆW	ÆW	356.0 	1618.1 	0.0 	204.2 	102.8 	32.5 	374.9 	0.6 	0.0 	133.9 
6123	ÆW¸Ì	ÆW	11.0 	7.0 	40.0 	516.3 	6.8 	1.7 	11.1 	0.0 	0.0 	4.7 
6661	«¢¹ÇÆW³¡¸¨	ÆW	439.0 	952.7 	178.9 	550.8 	12.2 	34.5 	519.9 	0.6 	117.0 	353.3 
7082	¤ºÆW	ÆW	30.0 	51.1 	0.0 	335.5 	103.5 	2.6 	37.1 	0.0 	0.0 	8.4 
7214	ÆW¥C	ÆW	98.0 	163.9 	0.0 	190.6 	280.2 	11.7 	124.5 	0.2 	0.0 	23.2 
7370	ÆW¥C	ÆW	231.0 	337.9 	0.0 	399.3 	230.8 	19.2 	211.7 	0.3 	0.0 	82.6 
7421	´¶¼ÖÆW	ÆW	18.0 	17.9 	126.5 	626.1 	30.4 	1.7 	53.2 	0.0 	0.0 	5.7 
7693	¼Ì¾ðÆW	ÆW	77.0 	14.5 	0.0 	161.1 	123.0 	5.4 	75.7 	0.1 	0.0 	7.2 
7949	¨FÆW¤l	ÆW	126.0 	39.9 	0.0 	221.1 	103.0 	12.5 	145.2 	0.2 	0.0 	37.1 
7951	¤ºÆW	ÆW	261.0 	301.6 	0.0 	327.1 	437.3 	19.7 	265.9 	0.3 	0.0 	66.5 
7960	¤UÆW¥J	ÆW	64.0 	161.0 	0.0 	126.3 	4867.2 	5.0 	70.6 	0.1 	0.0 	8.8 
8075	»OÆWµó	ÆW	5.0 	0.0 	40.0 	90.0 	1.0 	2.7 	3.8 	0.0 	0.0 	0.0 
8176	ÆW©³	ÆW	146.0 	49.9 	0.0 	291.0 	108.2 	8.7 	169.2 	0.2 	0.0 	19.4 
8370	¦¶¤¦ÆW	ÆW	13.0 	46.3 	320.0 	705.6 	32.8 	1.7 	10.9 	0.0 	0.0 	4.5 
8413	ÆWÀtÀY	ÆW	8.0 	63.4 	0.0 	151.6 	464.6 	1.3 	9.2 	0.0 	0.0 	3.3 
9325	¤TÆW	ÆW	82.0 	91.2 	0.0 	284.3 	3784.4 	4.5 	96.4 	0.1 	0.0 	22.0 
9403	¤G¨FÆW	ÆW	102.0 	28.7 	357.8 	906.4 	23.3 	14.3 	139.3 	0.2 	0.0 	28.7 
9609	¤UåüÆW	ÆW	202.0 	186.0 	0.0 	171.7 	1248.7 	17.6 	204.6 	0.3 	0.0 	46.4 
9618	¤UÆW	ÆW	79.0 	92.1 	0.0 	207.6 	1587.8 	8.5 	80.7 	0.1 	0.0 	19.6 
9619	¤UÆW	ÆW	14.0 	18.1 	0.0 	188.0 	293.2 	1.5 	14.6 	0.0 	0.0 	3.8 
9620	¤UÆW	ÆW	113.0 	102.4 	0.0 	315.4 	6186.6 	10.2 	100.4 	0.2 	0.0 	28.3 
9621	¤UÆW¤l	ÆW	76.0 	166.7 	0.0 	151.1 	148.5 	7.4 	79.5 	0.1 	0.0 	13.5 
9650	¤p«nÆW	ÆW	114.0 	81.6 	0.0 	205.4 	389.1 	10.8 	121.4 	0.2 	0.0 	32.5 
9651	¤p«nÆW	ÆW	114.0 	81.6 	0.0 	205.4 	389.1 	10.8 	121.4 	0.2 	0.0 	32.5 
